2410,"South Korea","South Korea",,"KR","Country","Active"
2356,"India","India",,"IN","Country","Active"
20452,"Andaman and Nicobar Islands","Andaman and Nicobar Islands,India",2356,"IN","UT","Active"
20453,"Andhra Pradesh","Andhra Pradesh,India",2356,"IN","State","Active"
20454,"Assam","Assam,India",2356,"IN","State","Active"
20455,"Bihar","Bihar,India",2356,"IN","State","Active"
20456,"Delhi","Delhi,India",2356,"IN","UT","Active"
20457,"Gujarat","Gujarat,India",2356,"IN","State","Active"
20458,"Haryana","Haryana,India",2356,"IN","State","Active"
20459,"Jammu and Kashmir","Jammu and Kashmir,India",2356,"IN","State","Active"
20460,"Karnataka","Karnataka,India",2356,"IN","State","Active"
20461,"Kerala","Kerala,India",2356,"IN","State","Active"
20462,"Maharashtra","Maharashtra,India",2356,"IN","State","Active"
20463,"Meghalaya","Meghalaya,India",2356,"IN","State","Active"
20464,"Madhya Pradesh","Madhya Pradesh,India",2356,"IN","State","Active"
20465,"Odisha","Odisha,India",2356,"IN","State","Active"
20466,"Punjab","Punjab,India",2356,"IN","State","Active"
20467,"Pondicherry","Pondicherry,India",2356,"IN","UT","Active"
20468,"Rajasthan","Rajasthan,India",2356,"IN","State","Active"
20469,"Tamil Nadu","Tamil Nadu,India",2356,"IN","State","Active"
20470,"Tripura","Tripura,India",2356,"IN","State","Active"
20471,"Uttar Pradesh","Uttar Pradesh,India",2356,"IN","State","Active"
20472,"West Bengal","West Bengal,India",2356,"IN","State","Active"
21268,"Goa","Goa,India",2356,"IN","State","Active"
21289,"Arunachal Pradesh","Arunachal Pradesh,India",2356,"IN","State","Active"
21334,"Chhattisgarh","Chhattisgarh,India",2356,"IN","State","Active"
21335,"Himachal Pradesh","Himachal Pradesh,India",2356,"IN","State","Active"
21336,"Jharkhand","Jharkhand,India",2356,"IN","State","Active"
21337,"Manipur","Manipur,India",2356,"IN","State","Active"
21338,"Mizoram","Mizoram,India",2356,"IN","State","Active"
21339,"Nagaland","Nagaland,India",2356,"IN","State","Active"
21340,"Sikkim","Sikkim,India",2356,"IN","State","Active"
21341,"Uttarakhand","Uttarakhand,India",2356,"IN","State","Active"
21342,"Chandigarh","Chandigarh,India",2356,"IN","UT","Active"
21343,"Dadra and Nagar Haveli","Dadra and Nagar Haveli,India",2356,"IN","UT","Active"
21344,"Daman and Diu","Daman and Diu,India",2356,"IN","UT","Active"
21345,"Lakshadweep","Lakshadweep,India",2356,"IN","UT","Active"
1007740,"Hyderabad","Hyderabad,Andhra Pradesh,India",20453,"IN","City","Active"
1007741,"Nellore","Nellore,Andhra Pradesh,India",20453,"IN","City","Active"
1007742,"Vijayawada","Vijayawada,Andhra Pradesh,India",20453,"IN","City","Active"
1007743,"Visakhapatnam","Visakhapatnam,Andhra Pradesh,India",20453,"IN","City","Active"
1007744,"Warangal","Warangal,Andhra Pradesh,India",20453,"IN","City","Active"
1007745,"Guwahati","Guwahati,Assam,India",20454,"IN","City","Active"
1007746,"Silchar","Silchar,Assam,India",20454,"IN","City","Active"
1007747,"Dhanbad","Dhanbad,Jharkhand,India",21336,"IN","City","Active"
1007748,"Jamshedpur","Jamshedpur,Jharkhand,India",21336,"IN","City","Active"
1007749,"Patna","Patna,Bihar,India",20455,"IN","City","Active"
1007751,"New Delhi","New Delhi,Delhi,India",20456,"IN","City","Active"
1007753,"Ahmedabad","Ahmedabad,Gujarat,India",20457,"IN","City","Active"
1007754,"Anand","Anand,Gujarat,India",20457,"IN","City","Active"
1007756,"Gandhinagar","Gandhinagar,Gujarat,India",20457,"IN","City","Active"
1007758,"Jamnagar","Jamnagar,Gujarat,India",20457,"IN","City","Active"
1007759,"Rajkot","Rajkot,Gujarat,India",20457,"IN","City","Active"
1007760,"Surat","Surat,Gujarat,India",20457,"IN","City","Active"
1007761,"Vadodara","Vadodara,Gujarat,India",20457,"IN","City","Active"
1007764,"Faridabad","Faridabad,Haryana,India",20458,"IN","City","Active"
1007765,"Gurgaon","Gurgaon,Haryana,India",20458,"IN","City","Active"
1007767,"Srinagar","Srinagar,Jammu and Kashmir,India",20459,"IN","City","Active"
1007768,"Bangalore","Bangalore,Karnataka,India",20460,"IN","City","Active"
1007769,"Belgaum","Belgaum,Karnataka,India",20460,"IN","City","Active"
1007771,"Dharwad","Dharwad,Karnataka,India",20460,"IN","City","Active"
1007772,"Mangalore","Mangalore,Karnataka,India",20460,"IN","City","Active"
1007773,"Mysuru","Mysuru,Karnataka,India",20460,"IN","City","Active"
1007776,"Kochi","Kochi,Kerala,India",20461,"IN","City","Active"
1007777,"Kottayam","Kottayam,Kerala,India",20461,"IN","City","Active"
1007778,"Kozhikode","Kozhikode,Kerala,India",20461,"IN","City","Active"
1007779,"Thiruvananthapuram","Thiruvananthapuram,Kerala,India",20461,"IN","City","Active"
1007780,"Aurangabad","Aurangabad,Maharashtra,India",20462,"IN","City","Active"
1007783,"Kolhapur","Kolhapur,Maharashtra,India",20462,"IN","City","Active"
1007785,"Mumbai","Mumbai,Maharashtra,India",20462,"IN","City","Active"
1007786,"Nagpur","Nagpur,Maharashtra,India",20462,"IN","City","Active"
1007787,"Nanded","Nanded,Maharashtra,India",20462,"IN","City","Active"
1007788,"Pune","Pune,Maharashtra,India",20462,"IN","City","Active"
1007790,"Solapur","Solapur,Maharashtra,India",20462,"IN","City","Active"
1007791,"Shillong","Shillong,Meghalaya,India",20463,"IN","City","Active"
1007792,"Bhopal","Bhopal,Madhya Pradesh,India",20464,"IN","City","Active"
1007793,"Bilaspur","Bilaspur,Chhattisgarh,India",21334,"IN","City","Active"
1007795,"Gwalior","Gwalior,Madhya Pradesh,India",20464,"IN","City","Active"
1007796,"Indore","Indore,Madhya Pradesh,India",20464,"IN","City","Active"
1007797,"Jabalpur","Jabalpur,Madhya Pradesh,India",20464,"IN","City","Active"
1007799,"Bhubaneswar","Bhubaneswar,Odisha,India",20465,"IN","City","Active"
1007800,"Amritsar","Amritsar,Punjab,India",20466,"IN","City","Active"
1007801,"Chandigarh","Chandigarh,Chandigarh,India",21342,"IN","City","Active"
1007802,"Ludhiana","Ludhiana,Punjab,India",20466,"IN","City","Active"
1007803,"Sangrur","Sangrur,Punjab,India",20466,"IN","City","Active"
1007804,"Puducherry","Puducherry,Pondicherry,India",20467,"IN","City","Active"
1007805,"Jaipur","Jaipur,Rajasthan,India",20468,"IN","City","Active"
1007806,"Kota","Kota,Rajasthan,India",20468,"IN","City","Active"
1007808,"Udaipur","Udaipur,Rajasthan,India",20468,"IN","City","Active"
1007809,"Chennai","Chennai,Tamil Nadu,India",20469,"IN","City","Active"
1007810,"Coimbatore","Coimbatore,Tamil Nadu,India",20469,"IN","City","Active"
1007811,"Erode","Erode,Tamil Nadu,India",20469,"IN","City","Active"
1007812,"Madurai","Madurai,Tamil Nadu,India",20469,"IN","City","Active"
1007814,"Sivakasi","Sivakasi,Tamil Nadu,India",20469,"IN","City","Active"
1007815,"Thanjavur","Thanjavur,Tamil Nadu,India",20469,"IN","City","Active"
1007816,"Vellore","Vellore,Tamil Nadu,India",20469,"IN","City","Active"
1007818,"Allahabad","Allahabad,Uttar Pradesh,India",20471,"IN","City","Active"
1007819,"Dehradun","Dehradun,Uttarakhand,India",21341,"IN","City","Active"
1007820,"Ghaziabad","Ghaziabad,Uttar Pradesh,India",20471,"IN","City","Active"
1007821,"Haldwani","Haldwani,Uttarakhand,India",21341,"IN","City","Active"
1007823,"Kanpur","Kanpur,Uttar Pradesh,India",20471,"IN","City","Active"
1007824,"Lucknow","Lucknow,Uttar Pradesh,India",20471,"IN","City","Active"
1007825,"Mathura","Mathura,Uttar Pradesh,India",20471,"IN","City","Active"
1007826,"Noida","Noida,Uttar Pradesh,India",20471,"IN","City","Active"
1007827,"Varanasi","Varanasi,Uttar Pradesh,India",20471,"IN","City","Active"
1007828,"Kolkata","Kolkata,West Bengal,India",20472,"IN","City","Active"
9040165,"Tezpur","Tezpur,Assam,India",20454,"IN","City","Active"
9040166,"Imphal","Imphal,Manipur,India",21337,"IN","City","Active"
9040167,"Shimla","Shimla,Himachal Pradesh,India",21335,"IN","City","Active"
9040168,"Moradabad","Moradabad,Uttar Pradesh,India",20471,"IN","City","Active"
9040169,"Meerut","Meerut,Uttar Pradesh,India",20471,"IN","City","Active"
9040170,"Sonepat","Sonepat,Haryana,India",20458,"IN","City","Active"
9040171,"Karnal","Karnal,Haryana,India",20458,"IN","City","Active"
9040172,"Roorkee","Roorkee,Uttarakhand,India",21341,"IN","City","Active"
9040173,"Patiala","Patiala,Punjab,India",20466,"IN","City","Active"
9040174,"Pilani","Pilani,Rajasthan,India",20468,"IN","City","Active"
9040175,"Jalandhar","Jalandhar,Punjab,India",20466,"IN","City","Active"
9040176,"Kangra","Kangra,Himachal Pradesh,India",21335,"IN","City","Active"
9040177,"Jammu","Jammu,Jammu and Kashmir,India",20459,"IN","City","Active"
9040178,"Jodhpur","Jodhpur,Rajasthan,India",20468,"IN","City","Active"
9040179,"Nadiad","Nadiad,Gujarat,India",20457,"IN","City","Active"
9040180,"Bhavnagar","Bhavnagar,Gujarat,India",20457,"IN","City","Active"
9040181,"Ajmer","Ajmer,Rajasthan,India",20468,"IN","City","Active"
9040182,"Alwar","Alwar,Rajasthan,India",20468,"IN","City","Active"
9040183,"Agra","Agra,Uttar Pradesh,India",20471,"IN","City","Active"
9040184,"Aligarh","Aligarh,Uttar Pradesh,India",20471,"IN","City","Active"
9040185,"Jhansi","Jhansi,Uttar Pradesh,India",20471,"IN","City","Active"
9040186,"Sagar","Sagar,Madhya Pradesh,India",20464,"IN","City","Active"
9040187,"Satna","Satna,Madhya Pradesh,India",20464,"IN","City","Active"
9040188,"Gorakhpur","Gorakhpur,Uttar Pradesh,India",20471,"IN","City","Active"
9040189,"Bareilly","Bareilly,Uttar Pradesh,India",20471,"IN","City","Active"
9040190,"Siliguri","Siliguri,West Bengal,India",20472,"IN","City","Active"
9040191,"Bokaro Steel City","Bokaro Steel City,Jharkhand,India",21336,"IN","City","Active"
9040192,"Ranchi","Ranchi,Jharkhand,India",21336,"IN","City","Active"
9040193,"Durgapur","Durgapur,West Bengal,India",20472,"IN","City","Active"
9040194,"Barddhaman","Barddhaman,West Bengal,India",20472,"IN","City","Active"
9040195,"Cuttack","Cuttack,Odisha,India",20465,"IN","City","Active"
9040196,"Rourkela","Rourkela,Odisha,India",20465,"IN","City","Active"
9040197,"Sambalpur","Sambalpur,Odisha,India",20465,"IN","City","Active"
9040198,"Raipur","Raipur,Chhattisgarh,India",21334,"IN","City","Active"
9040199,"Bhilai","Bhilai,Chhattisgarh,India",21334,"IN","City","Active"
9040200,"Eluru","Eluru,Andhra Pradesh,India",20453,"IN","City","Active"
9040201,"Rajahmundry","Rajahmundry,Andhra Pradesh,India",20453,"IN","City","Active"
9040202,"Kakinada","Kakinada,Andhra Pradesh,India",20453,"IN","City","Active"
9040203,"Brahmapur","Brahmapur,Odisha,India",20465,"IN","City","Active"
9040204,"Guntur","Guntur,Andhra Pradesh,India",20453,"IN","City","Active"
9040205,"Tirupati","Tirupati,Andhra Pradesh,India",20453,"IN","City","Active"
9040206,"Sembakkam","Sembakkam,Tamil Nadu,India",20469,"IN","City","Active"
9040207,"Irumbuliyur","Irumbuliyur,Tamil Nadu,India",20469,"IN","City","Active"
9040208,"Virudhunagar","Virudhunagar,Tamil Nadu,India",20469,"IN","City","Active"
9040209,"Tirunelveli","Tirunelveli,Tamil Nadu,India",20469,"IN","City","Active"
9040210,"Kollam","Kollam,Kerala,India",20461,"IN","City","Active"
9040211,"Mavelikkara","Mavelikkara,Kerala,India",20461,"IN","City","Active"
9040212,"Ernakulam","Ernakulam,Kerala,India",20461,"IN","City","Active"
9040213,"Alappuzha","Alappuzha,Kerala,India",20461,"IN","City","Active"
9040214,"Kannur","Kannur,Kerala,India",20461,"IN","City","Active"
9040215,"Thrissur","Thrissur,Kerala,India",20461,"IN","City","Active"
9040216,"Palakkad","Palakkad,Kerala,India",20461,"IN","City","Active"
9040217,"Tiruchirappalli","Tiruchirappalli,Tamil Nadu,India",20469,"IN","City","Active"
9040218,"Salem","Salem,Tamil Nadu,India",20469,"IN","City","Active"
9040219,"Chittoor","Chittoor,Andhra Pradesh,India",20453,"IN","City","Active"
9040220,"Hosur","Hosur,Tamil Nadu,India",20469,"IN","City","Active"
9040221,"Anantapur","Anantapur,Andhra Pradesh,India",20453,"IN","City","Active"
9040222,"Kurnool","Kurnool,Andhra Pradesh,India",20453,"IN","City","Active"
9040223,"Bellary","Bellary,Karnataka,India",20460,"IN","City","Active"
9040224,"Hubballi","Hubballi,Karnataka,India",20460,"IN","City","Active"
9040225,"Manipal","Manipal,Karnataka,India",20460,"IN","City","Active"
9040226,"Margao","Margao,Goa,India",21268,"IN","City","Active"
9040227,"Panaji","Panaji,Goa,India",21268,"IN","City","Active"
9040228,"Mormugao","Mormugao,Goa,India",21268,"IN","City","Active"
9040229,"Pimpri Chinchwad","Pimpri Chinchwad,Maharashtra,India",20462,"IN","City","Active"
9040230,"Bijapur","Bijapur,Karnataka,India",20460,"IN","City","Active"
9040231,"Secunderabad","Secunderabad,Andhra Pradesh,India",20453,"IN","City","Active"
9040232,"Karimnagar","Karimnagar,Andhra Pradesh,India",20453,"IN","City","Active"
9040233,"Latur","Latur,Maharashtra,India",20462,"IN","City","Active"
9040234,"Jalgaon","Jalgaon,Maharashtra,India",20462,"IN","City","Active"
9040235,"Nashik","Nashik,Maharashtra,India",20462,"IN","City","Active"
9040236,"Dhule","Dhule,Maharashtra,India",20462,"IN","City","Active"
9040237,"Vapi","Vapi,Gujarat,India",20457,"IN","City","Active"
9040238,"Ambernath","Ambernath,Maharashtra,India",20462,"IN","City","Active"
9040239,"Ulhasnagar","Ulhasnagar,Maharashtra,India",20462,"IN","City","Active"
9040240,"Dombivli","Dombivli,Maharashtra,India",20462,"IN","City","Active"
9040241,"Kalyan","Kalyan,Maharashtra,India",20462,"IN","City","Active"
9040242,"Virar","Virar,Maharashtra,India",20462,"IN","City","Active"
